,S BET(m2/g),Vtotal (cm3/g),Vmicro (cm3/g),T(oC),P(bar),CO2uptake (mmol/g)
399,1380.0,0.06,0.61,50.0,1.0,3.3
400,1380.0,0.06,0.61,50.0,0.4,1.5
401,1380.0,0.06,0.61,25.0,0.4,2.4
402,1380.0,0.06,0.61,0.0,0.4,3.6
403,1380.0,0.06,0.61,50.0,0.8,2.75
404,1380.0,0.06,0.61,25.0,0.8,4.0
405,1380.0,0.06,0.61,0.0,0.8,5.5
406,1390.0,0.07,0.62,0.0,1.0,6.6
407,1390.0,0.07,0.62,25.0,1.0,4.3
408,1390.0,0.07,0.62,50.0,1.0,2.6
409,1390.0,0.07,0.62,50.0,0.4,1.25
410,1390.0,0.07,0.62,25.0,0.4,2.25
411,1390.0,0.07,0.62,0.0,0.4,3.7
412,1390.0,0.07,0.62,50.0,0.8,2.2
413,1390.0,0.07,0.62,25.0,0.8,3.75
414,1390.0,0.07,0.62,0.0,0.8,5.7
415,1940.0,0.15,0.82,0.0,1.0,5.8
416,1940.0,0.15,0.82,25.0,1.0,3.9
417,1940.0,0.15,0.82,50.0,1.0,3.1
418,1940.0,0.15,0.82,50.0,0.4,1.25
419,1940.0,0.15,0.82,25.0,0.4,2.0
420,1940.0,0.15,0.82,0.0,0.4,3.2
421,1940.0,0.15,0.82,50.0,0.8,2.5
422,1940.0,0.15,0.82,25.0,0.8,3.25
423,1940.0,0.15,0.82,0.0,0.8,5.07
424,3100.0,0.12,1.45,0.0,1.0,5.3629999999999995
425,3100.0,0.12,1.45,25.0,1.0,2.977
426,3100.0,0.12,1.45,50.0,1.0,1.795
427,2450.0,0.09,1.03,0.0,1.0,8.63
428,2450.0,0.09,1.03,25.0,1.0,4.2
429,2450.0,0.09,1.03,50.0,1.0,2.34
430,2720.0,0.01,1.21,0.0,1.0,5.045
431,2720.0,0.01,1.21,25.0,1.0,3.0
432,2720.0,0.01,1.21,50.0,1.0,1.75
433,2895.0,0.14,1.28,0.0,1.0,5.5
434,2895.0,0.14,1.28,25.0,1.0,4.59
435,2895.0,0.14,1.28,50.0,1.0,1.9769999999999999
436,2595.0,0.0,1.16,0.0,1.0,6.82
437,2595.0,0.0,1.16,25.0,1.0,3.795
438,2595.0,0.0,1.16,50.0,1.0,2.295
439,2445.0,0.05,1.09,0.0,1.0,6.18
440,2445.0,0.05,1.09,25.0,1.0,3.27
441,2445.0,0.05,1.09,50.0,1.0,1.95
442,2660.0,0.0,1.16,0.0,1.0,6.545
443,2660.0,0.0,1.16,25.0,1.0,4.7
444,2660.0,0.0,1.16,50.0,1.0,2.886
445,2895.0,0.14,1.28,50.0,1.0,1.9769999999999999
446,2595.0,0.0,1.16,0.0,1.0,6.82
447,2595.0,0.0,1.16,25.0,1.0,3.795
448,2595.0,0.0,1.16,50.0,1.0,2.295
449,2445.0,0.05,1.09,0.0,1.0,6.18
450,2445.0,0.05,1.09,25.0,1.0,3.27
451,2445.0,0.05,1.09,50.0,1.0,1.95
452,2660.0,0.0,1.16,0.0,1.0,6.545
453,2660.0,0.0,1.16,25.0,1.0,4.7
454,2660.0,0.0,1.16,50.0,1.0,2.886
455,1023.0,0.011000000000000001,0.40299999999999997,0.0,1.0,5.39
456,1023.0,0.011000000000000001,0.40299999999999997,25.0,1.0,3.6
457,1023.0,0.011000000000000001,0.40299999999999997,50.0,1.0,2.33
458,1179.0,0.039,0.461,0.0,1.0,5.8
459,1179.0,0.039,0.461,25.0,1.0,3.68
460,1179.0,0.039,0.461,50.0,1.0,2.36
461,1479.0,0.037000000000000005,0.585,0.0,1.0,6.05
462,1479.0,0.037000000000000005,0.585,25.0,1.0,3.84
463,1479.0,0.037000000000000005,0.585,50.0,1.0,2.3
464,1479.0,0.037000000000000005,0.585,0.0,0.2,2.55
465,1479.0,0.037000000000000005,0.585,25.0,0.2,1.45
466,1479.0,0.037000000000000005,0.585,50.0,0.2,0.75
467,1479.0,0.037000000000000005,0.585,0.0,0.4,3.8
468,1479.0,0.037000000000000005,0.585,25.0,0.4,2.2
469,1479.0,0.037000000000000005,0.585,50.0,0.4,1.25
470,1479.0,0.037000000000000005,0.585,0.0,0.6,4.75
471,1479.0,0.037000000000000005,0.585,25.0,0.6,2.8
472,1479.0,0.037000000000000005,0.585,50.0,0.6,1.7
